umap1,umap2,cell_type
15.991861343383789,11.909181594848633,Retinal Ganglion Cell
18.545795440673828,13.355673789978027,Retinal Ganglion Cell
16.63511848449707,13.804635047912598,Retinal Ganglion Cell
13.868324279785156,15.452378273010254,Retinal Ganglion Cell
16.19552230834961,13.93176555633545,Retinal Ganglion Cell
17.681354522705078,12.65965747833252,Retinal Ganglion Cell
15.411450386047363,11.641522407531738,Retinal Ganglion Cell
13.81010913848877,14.33128547668457,Retinal Ganglion Cell
14.70586872,10.901792526245117,Retinal Ganglion Cell
15.45538330078125,9.972016334533691,Retinal Ganglion Cell
13.017620086669922,9.324841499328613,Retinal Ganglion Cell
16.94104766845703,13.112305641174316,Retinal Ganglion Cell
15.945428848266602,14.294401168823242,Retinal Ganglion Cell
14.890949249267578,11.696501731872559,Retinal Ganglion Cell
16.671743392944336,14.372568130493164,Retinal Ganglion Cell
14.237507820129395,9.302777290344238,Retinal Ganglion Cell
17.630521774291992,13.584037780761719,Retinal Ganglion Cell
11.26667308807373,11.535486221313477,Retinal Ganglion Cell
17.634187698364258,12.902962684631348,Retinal Ganglion Cell
15.27214241027832,10.877351760864258,Retinal Ganglion Cell
16.042783737182617,10.178083419799805,Retinal Ganglion Cell
13.63123893737793,12.886503219604492,Retinal Ganglion Cell
14.271711349487305,12.477412223815918,Retinal Ganglion Cell
11.530184745788574,14.66309642791748,Retinal Ganglion Cell
13.891196250915527,10.608113288879395,Retinal Ganglion Cell
15.440308570861816,7.321223258972168,Retinal Ganglion Cell
12.339827537536621,9.602210045,Retinal Ganglion Cell
14.644403457641602,9.468019485473633,Retinal Ganglion Cell
15.453926086425781,7.147698402404785,Retinal Ganglion Cell
12.33612060546875,13.345475196838379,Retinal Ganglion Cell
17.899219512939453,12.369406700134277,Retinal Ganglion Cell
13.511392593383789,14.687644958496094,Retinal Ganglion Cell
12.953944206237793,9.307876586914062,Retinal Ganglion Cell
15.833125114440918,9.902454376220703,Retinal Ganglion Cell
15.869853019714355,14.286322593688965,Retinal Ganglion Cell
14.300077438354492,11.695420265197754,Retinal Ganglion Cell
